time,site,plot,transect,tran_length,species,ht,crown_axis_1,crown_axis_2,slope
2020,C,011,000,30,NODE,0.5,0.47,0.26,3.5
2020,C,011,180,30,NODE,1.18,1.19,1.04,7.5
2020,C,011,090,30,NODE,0.8,0.86,0.72,12
2020,C,011,090,30,NODE,0.51,0.48,0.39,12
2020,C,011,270,30,NODE,0.5,0.6,0.6,15
2020,C,011,270,30,NODE,0.25,0.64,0.48,15
2020,C,011,270,30,NODE,0.7,0.81,0.65,15
2020,B,016,090,30,ARVI,0.25,0.47,0.31,7
2020,B,016,000,30,CEIN,0.25,0.18,0.12,4
2020,B,016,000,30,ARVI,0.5,0.87,0.36,4
2020,B,016,000,30,NODE,1,1.14,0.69,4
2020,B,016,000,30,OTHER,0.25,0.28,0.19,4
2020,B,016,000,30,OTHER,0.1,0.17,0.12,4
2020,B,016,000,30,OTHER,0.25,0.32,0.24,4
2020,B,016,000,30,OTHER,0.25,0.26,0.05,4
2020,B,016,000,30,OTHER,0.1,0.09,0.04,4
2020,B,016,000,30,OTHER,0.25,0.26,0.24,4
2020,B,016,000,30,OTHER,0.25,0.31,0.17,4
2020,B,016,000,30,OTHER,0.25,0.32,0.32,4
2020,B,016,000,30,OTHER,0.25,0.39,0.21,4
2020,B,016,000,30,OTHER,0.25,0.13,0.07,4
2020,B,016,000,30,OTHER,0.25,0.23,0.2,4
2020,B,016,000,30,OTHER,0.25,0.16,0.11,4
2020,B,016,000,30,OTHER,0.25,0.22,0.18,4
2020,B,016,000,30,OTHER,0.25,0.31,0.18,4
2020,B,016,000,30,OTHER,0.25,0.16,0.09,4
2020,B,016,000,30,OTHER,0.25,0.21,0.2,4
2020,B,016,000,30,OTHER,0.25,0.46,0.22,4
2020,B,016,000,30,OTHER,0.25,0.19,0.13,4
2020,B,016,180,30,OTHER,0.25,0.26,0.22,6
2020,B,016,180,30,CEIN,0.5,0.79,0.44,6
2020,B,016,180,30,CEIN,0.5,0.76,0.58,6
2020,B,016,180,30,CEIN,0.5,0.78,0.65,6
2020,B,016,180,30,CEIN,0.25,0.21,0.12,6
2020,B,016,180,30,OTHER,0.25,0.39,0.11,6
2020,B,016,180,30,OTHER,0.25,0.22,0.15,6
2020,B,016,180,30,OTHER,0.25,0.25,0.15,6
2020,B,016,180,30,OTHER,0.25,0.31,0.16,6
2020,B,016,180,30,OTHER,0.25,0.39,0.23,6
2020,B,016,180,30,OTHER,0.1,0.16,0.13,6
2020,B,016,180,30,OTHER,0.1,0.39,0.14,6
2020,B,016,180,30,OTHER,0.1,0.15,0.09,6
2020,B,016,180,30,OTHER,0.1,0.34,0.18,6
2020,B,016,270,30,ARVI,0.5,0.58,0.42,7
2020,B,016,270,30,ARVI,0.5,0.69,0.36,7
2020,B,016,270,30,ARVI,0.75,0.91,0.67,7
2020,B,016,270,30,OTHER,0.25,0.21,0.14,7
2020,B,016,270,30,OTHER,0.25,0.11,0.09,7
2020,B,016,270,30,OTHER,0.25,0.27,0.11,7
2020,B,016,270,30,OTHER,0.1,0.08,0.05,7
2020,B,016,270,30,OTHER,0.25,0.19,0.1,7
2020,B,016,270,30,OTHER,0.25,0.16,0.09,7
2020,B,016,270,30,OTHER,0.25,0.15,0.14,7
2020,B,016,270,30,OTHER,0.25,0.29,0.22,7
2020,B,016,270,30,OTHER,0.1,0.17,0.1,7
2020,B,016,270,30,OTHER,0.25,0.15,0.08,7
2020,B,016,270,30,OTHER,0.25,0.19,0.1,7
2020,B,016,270,30,OTHER,0.1,0.19,0.11,7
2020,B,016,270,30,OTHER,0.1,0.13,0.08,7
2020,A,025,000,30,CHSE,0.5,1.47,0.94,13
2020,A,025,000,30,NODE,0.5,0.47,0.36,13
2020,A,025,000,30,NODE,0.5,0.53,0.34,13
2020,A,025,000,30,NODE,0.5,0.61,0.36,13
2020,A,025,000,30,NODE,0.75,1.28,1.18,13
2020,A,025,000,30,NODE,0.75,1.8,0.78,13
2020,A,025,000,30,NODE,0.5,0.98,0.55,13
2020,A,025,090,30,NODE,1.75,1.7,1.44,7
2020,A,025,090,30,OTHER,0.75,0.72,0.48,7
2020,A,025,090,30,NODE,1.75,1.72,1.66,7
2020,A,025,090,30,NODE,0.5,0.63,0.36,7
2020,A,025,090,30,NODE,1.75,2.04,1.26,7
2020,A,025,090,30,CHSE,1,0.79,0.51,7
2020,A,025,090,30,NODE,0.75,0.61,0.31,7
2020,A,025,090,30,NODE,1.75,1.05,0.96,7
2020,A,025,090,30,NODE,0.75,1.03,0.67,7
2020,A,025,090,30,NODE,2,1.58,1.42,7
2020,A,025,090,30,NODE,1.75,3.08,1.15,7
2020,A,025,090,30,NODE,1.25,2.15,1.38,7
2020,A,025,090,30,NODE,1.25,0.82,0.39,7
2020,A,025,090,30,NODE,0.75,0.3,0.19,7
2020,A,025,090,30,NODE,0.75,0.46,0.28,7
2020,A,025,090,30,NODE,0.25,0.31,0.1,7
2020,A,025,090,30,NODE,0.75,0.93,0.72,7
2020,A,025,180,30,NODE,1.25,1.34,0.65,18
2020,A,025,180,30,NODE,1,0.65,0.59,18
2020,A,025,180,30,CEIN,0.25,0.28,0.15,18
2020,A,025,270,30,NODE,0.25,0.18,0.13,5
2020,A,025,270,30,NODE,0.25,0.23,0.11,5
2020,A,025,270,30,NODE,0.25,0.26,0.22,5
2020,A,025,270,30,NODE,1,1.25,0.75,5
2020,A,025,270,30,NODE,0.25,0.75,0.53,5
2020,A,025,270,30,NODE,0.25,0.32,0.14,5
2020,A,025,270,30,CHSE,0.5,1.04,0.83,5
2020,A,025,270,30,NODE,0.5,1.14,0.94,5
2020,A,005,000,30,NODE,0.75,0.93,0.82,22
2020,A,005,090,30,NODE,2.25,2.1,1.7,20
2020,A,005,090,30,NODE,0.5,0.61,0.43,20
2020,A,005,090,30,NODE,1.75,1.32,1.2,20
2020,A,005,180,30,NODE,1.5,1.03,0.63,20
2020,B,010,000,30,NODE,1.5,1.88,1.2,2
