Species,Site,Author,Hgt.m,CW1.m,CW2.m,Leaf.g,Stem.g,AGL.g,CA.m2
ARVI,COMPLEX,McGinnis,0.62,0.5,0.59,156.1651741,127.9077684,284.0729426,0.017087319
ARVI,COMPLEX,McGinnis,1.38,1.52,1.52,2822.746411,7916.299628,10739.04604,1.04810367
ARVI,COMPLEX,McGinnis,1.52,1.2,2.38,369.3490566,2060.469038,2429.818095,1.601571368
ARVI,COMPLEX,McGinnis,0.19,0.19,0.13,11.5219802,5.767989418,17.28996962,1.20E-04
ARVI,COMPLEX,McGinnis,1.6,1.4,0.9,222.88,525.6209719,748.5009719,0.311724531
ARVI,COMPLEX,McGinnis,0.29,0.21,0.13,7.083495146,5.515530726,12.59902587,1.46E-04
ARVI,COMPLEX,McGinnis,1.12,0.97,0.6,161.7339901,391.6470075,553.3809977,0.066508302
CECU,COMPLEX,McGinnis,0.51,0.23,0.21,6.417537879,13.6763,20.09383788,4.58E-04
CEPI,COMPLEX,McGinnis,0.06,0.26,0.26,7.915165877,34.71940299,42.63456886,8.97E-04
CEIN,COMPLEX,McGinnis,1.44,1.58,0.88,166.8767442,1255.129359,1422.006103,0.37958532
CEIN,COMPLEX,McGinnis,2.8,3.2,1.7,190.5726027,3866.112732,4056.685335,5.810689772
CEIN,COMPLEX,McGinnis,2.46,2.88,2.4,266.8017751,2516.056472,2782.858247,9.380745398
CEIN,COMPLEX,McGinnis,1.4,2.4,0.7,57.05206731,858.973121,916.0251883,0.554176944
CEIN,COMPLEX,McGinnis,0.35,0.29,0.14,2.620434783,21.25610526,23.87654005,3.24E-04
CHFO,COMPLEX,McGinnis,0.25,0.26,0.26,5.904166667,21.825,27.72916667,8.97E-04
CHFO,COMPLEX,McGinnis,0.12,0.3,0.35,5.525024631,44.26213592,49.78716055,0.002164754
CHFO,COMPLEX,McGinnis,0.43,0.26,0.26,18.558,147.5085256,166.0665256,8.97E-04
CHFO,COMPLEX,McGinnis,0.24,0.6,0.33,22.01,30.695311,52.705311,0.007697687
CHFO,COMPLEX,McGinnis,0.29,0.41,0.33,9.10531401,90.44694118,99.55225519,0.003594392
CHFO,COMPLEX,McGinnis,0.28,0.26,0.26,4.756648936,6.464929577,11.22157851,8.97E-04
CHPA,COMPLEX,McGinnis,1.3,0.67,0.5,87.96979058,350.9087706,438.8785611,0.022035327
CHPA,COMPLEX,McGinnis,1.7,3.2,2.4,319.5106061,2463.103079,2782.613685,11.58116716
CHPA,COMPLEX,McGinnis,1.17,1.44,1,54.55317073,848.0256646,902.5788353,0.407150408
CHPA,COMPLEX,McGinnis,0.42,0.14,0.14,3.035524862,4.969948187,8.005473048,7.54E-05
ERCA,COMPLEX,McGinnis,0.34,0.21,0.16,6.131256281,3.020408163,9.151664445,2.22E-04
ERCA,COMPLEX,McGinnis,1.28,0.51,0.47,22.0335,59.95061879,81.98411879,0.011281477
ERCA,COMPLEX,McGinnis,0.95,0.2,0.2,14.31636364,42.90236264,57.21872627,3.14E-04
HEAR,COMPLEX,McGinnis,0.7,0.74,0.84,553.0403846,505.8770505,1058.917435,0.075866824
HEAR,COMPLEX,McGinnis,0.58,0.46,0.43,80.72963351,82.65757067,163.3872042,0.007682144
HEAR,COMPLEX,McGinnis,0.38,0.3,0.205,8.652,11.9325056,20.5845056,7.43E-04
QUCH,COMPLEX,McGinnis,3.26,3.58,3.37,1370.476884,4785.685722,6156.162606,28.57957361
QUCH,COMPLEX,McGinnis,0.43,0.18,0.12,6.169361702,3.849638009,10.01899971,9.16E-05
QUKE,COMPLEX,McGinnis,3.1,3.65,2.5,1098.006704,4534.12692,5632.133624,16.34916724
QUKE,COMPLEX,McGinnis,0.85,0.7,0.4,22.37857143,184.2295882,206.6081597,0.015393804
QUKE,COMPLEX,McGinnis,0.85,0.66,0.66,38.33034826,177.9140097,216.244358,0.037256807
QUKE,COMPLEX,McGinnis,0.52,0.71,0.48,23.53928571,113.9893596,137.5286453,0.022804947
QUKE,COMPLEX,McGinnis,4.1,2.25,1.5,273.5196729,1748.238354,2021.758027,2.236543989
QUCH,COMPLEX,McGinnis,1.51,2.38,1.9,2003.106122,8328.233807,10331.33993,4.015050444
RISP,COMPLEX,McGinnis,0.67,1.23,0.58,84.38513514,258.212818,342.5979531,0.099930049
