"COMP","PLOT","TRANSECT","AZ","SPECIES","STATUS","LOCATION_m","DISTANCE_m","MAJ_DIAM_m","MINOR_DIAM_m","HEIGHT_m"
"C","C-011","C-011-000",0,"NODE","L",22.06,0.03,0.47,0.26,0.5
"C","C-011","C-011-180",180,"NODE","L",20.95,1.11,1.19,1.04,1.18
"C","C-011","C-011-090",90,"NODE","L",18.9,0.89,0.86,0.72,0.8
"C","C-011","C-011-090",90,"NODE","L",15.07,0.15,0.48,0.39,0.51
"C","C-011","C-011-270",270,"NODE","L",27.84,0.08,0.6,0.6,0.5
"C","C-011","C-011-270",270,"NODE","L",23.65,0.14,0.64,0.48,0.25
"C","C-011","C-011-270",270,"NODE","L",1.75,0.38,0.81,0.65,0.7
"B","B-016","B-016-090",90,"ARVI","L",18.38,0.06,0.47,0.31,0.25
"B","B-016","B-016-000",0,"CEIN","L",1.14,0.01,0.18,0.12,0.25
"B","B-016","B-016-000",0,"ARVI","L",4.7,0.58,0.87,0.36,0.5
"B","B-016","B-016-000",0,"NODE","L",12.09,0.3,1.14,0.69,1
"B","B-016","B-016-000",0,"CEIN","D",19.6,0.23,1.42,0.16,0.5
"B","B-016","B-016-000",0,"SYMO","L",23.28,0.01,0.28,0.19,0.25
"B","B-016","B-016-000",0,"SYMO","L",23.59,0.05,0.17,0.12,0
"B","B-016","B-016-000",0,"SYMO","L",23.87,0.03,0.32,0.24,0.25
"B","B-016","B-016-000",0,"SYMO","L",24.11,0,0.26,0.05,0.25
"B","B-016","B-016-000",0,"SYMO","L",24.1,0,0.09,0.04,0
"B","B-016","B-016-000",0,"SYMO","L",24.44,0.06,0.26,0.24,0.25
"B","B-016","B-016-000",0,"SYMO","L",24.73,0.06,0.31,0.17,0.25
"B","B-016","B-016-000",0,"SYMO","L",25.09,0.12,0.32,0.32,0.25
"B","B-016","B-016-000",0,"SYMO","L",25.22,0.11,0.39,0.21,0.25
"B","B-016","B-016-000",0,"SYMO","L",25.38,0,0.13,0.07,0.25
"B","B-016","B-016-000",0,"SYMO","L",25.73,0,0.23,0.2,0.25
"B","B-016","B-016-000",0,"SYMO","L",25.87,0,0.16,0.11,0.25
"B","B-016","B-016-000",0,"SYMO","L",26.15,0.07,0.22,0.18,0.25
"B","B-016","B-016-000",0,"SYMO","L",26.69,0.06,0.31,0.18,0.25
"B","B-016","B-016-000",0,"SYMO","L",27.62,0.02,0.16,0.09,0.25
"B","B-016","B-016-000",0,"SYMO","L",27.8,0.08,0.21,0.2,0.25
"B","B-016","B-016-000",0,"SYMO","L",28.04,0.06,0.46,0.22,0.25
"B","B-016","B-016-000",0,"SYMO","L",28.21,0.04,0.19,0.13,0.25
"B","B-016","B-016-180",180,"SYMO","L",5.1,0.09,0.26,0.22,0.25
"B","B-016","B-016-180",180,"CEIN","L",5.5,0.47,0.79,0.44,0.5
"B","B-016","B-016-180",180,"CEIN","L",6.44,0.37,0.76,0.58,0.5
"B","B-016","B-016-180",180,"CEIN","L",7.07,0.47,0.78,0.65,0.5
"B","B-016","B-016-180",180,"CEIN","L",9.79,0.02,0.21,0.12,0.25
"B","B-016","B-016-180",180,"ROGY","L",10.82,0.15,0.39,0.11,0.25
"B","B-016","B-016-180",180,"ROGY","L",11.65,0.13,0.22,0.15,0.25
"B","B-016","B-016-180",180,"ROGY","L",12.31,0.05,0.25,0.15,0.25
"B","B-016","B-016-180",180,"SYMO","L",28.82,0.11,0.31,0.16,0.25
"B","B-016","B-016-180",180,"SYMO","L",29,0.14,0.39,0.23,0.25
"B","B-016","B-016-180",180,"SYMO","L",29.25,0,0.16,0.13,0
"B","B-016","B-016-180",180,"SYMO","L",29.38,0.09,0.39,0.14,0
"B","B-016","B-016-180",180,"SYMO","L",29.58,0.01,0.15,0.09,0
"B","B-016","B-016-180",180,"SYMO","L",29.75,0.1,0.34,0.18,0
"B","B-016","B-016-270",270,"ARVI","L",0.74,0.11,0.58,0.42,0.5
"B","B-016","B-016-270",270,"ARVI","D",2.14,0.43,1.3,0.97,0.75
"B","B-016","B-016-270",270,"ARVI","L",4.95,0.16,0.69,0.36,0.5
"B","B-016","B-016-270",270,"ARVI","L",6.6,0.15,0.91,0.67,0.75
"B","B-016","B-016-270",270,"SYMO","L",14.47,0.02,0.21,0.14,0.25
"B","B-016","B-016-270",270,"SYMO","L",14.82,0.03,0.11,0.09,0.25
